i	j	x	r	mach	theta	press	temp	massflow
0	0	0	1	1.1318	0	201.069	2795.37	9.69057
0	1	8.7225e-05	1	1.13227	0.0130828	200.951	2794.99	9.71869
0	2	0.00034926	1	1.13371	0.0523852	200.596	2793.86	9.71968
0	3	0.000787231	1	1.13609	0.118076	200.006	2791.98	9.72016
0	4	0.00140301	1	1.13943	0.210436	199.182	2789.35	9.72022
0	5	0.00219916	1.00001	1.14371	0.329851	198.126	2785.97	9.71996
0	6	0.00317888	1.00001	1.14894	0.476803	196.841	2781.83	9.71947
0	7	0.00434597	1.00002	1.15512	0.651862	195.329	2776.93	9.71884
0	8	0.00570471	1.00004	1.16225	0.855675	193.594	2771.28	9.71819
0	9	0.00725983	1.00007	1.17032	1.08896	191.638	2764.86	9.71764
0	10	0.00809306	1.00009	1.17461	1.21396	190.602	2761.43	9.71756
0	11	0.00901653	1.00011	1.17934	1.35251	189.464	2757.66	9.7175
0	12	0.00984967	1.00013	1.18359	1.47751	188.445	2754.26	9.7175
0	13	0.0109802	1.00016	1.18932	1.64714	187.076	2749.68	9.71748
0	14	0.0118133	1.00018	1.19353	1.77214	186.075	2746.31	9.71748
0	15	0.0131567	1.00023	1.20026	1.97376	184.477	2740.91	9.71746
0	16	0.0139896	1.00026	1.20443	2.09876	183.494	2737.56	9.71746
0	17	0.0155522	1.00032	1.21219	2.3333	181.67	2731.32	9.71744
0	18	0.0163848	1.00035	1.21631	2.4583	180.704	2728	9.71743
0	19	0.0172174	1.00039	1.22041	2.5833	179.747	2724.69	9.71743
0	20	0.0181729	1.00043	1.2251	2.72676	178.656	2720.9	9.71742
0	21	0.0190053	1.00047	1.22919	2.85176	177.71	2717.6	9.71742
0	22	0.0198376	1.00052	1.23325	2.97676	176.77	2714.31	9.71742
0	23	0.0210256	1.00058	1.23903	3.1552	175.441	2709.64	9.71741
0	24	0.0218577	1.00063	1.24308	3.2802	174.513	2706.36	9.71741
0	25	0.0226896	1.00067	1.24711	3.4052	173.592	2703.09	9.71741
0	26	0.0241172	1.00076	1.254	3.61972	172.025	2697.49	9.7174
0	27	0.0249488	1.00082	1.25801	3.74472	171.117	2694.23	9.7174
0	28	0.0257804	1.00087	1.26201	3.86972	170.214	2690.98	9.7174
0	29	0.0266118	1.00093	1.266	3.99472	169.317	2687.73	9.7174
0	30	0.027455	1.00099	1.27003	4.12149	168.413	2684.45	9.71739
0	31	0.0282861	1.00105	1.27402	4.24649	167.523	2681.2	9.71739
0	32	0.0291172	1.00111	1.27799	4.37149	166.639	2677.96	9.71739
0	33	0.0299481	1.00118	1.28195	4.49649	165.761	2674.73	9.71739
0	34	0.0310466	1.00126	1.28717	4.66178	164.607	2670.46	9.71739
0	35	0.0318771	1.00133	1.29112	4.78678	163.736	2667.23	9.71739
0	36	0.0327075	1.0014	1.29507	4.91178	162.871	2664	9.71738
0	37	0.0335378	1.00148	1.299	5.03678	162.011	2660.78	9.71738
0	38	0.0348999	1.0016	1.30544	5.24191	160.61	2655.51	9.71738
0	39	0.0357298	1.00167	1.30937	5.36691	159.758	2652.29	9.71738
0	40	0.0365594	1.00175	1.31329	5.49191	158.912	2649.07	9.71738
0	41	0.0373889	1.00183	1.3172	5.61691	158.07	2645.86	9.71738
0	42	0.0390235	1.002	1.32489	5.86333	156.425	2639.54	9.71737
0	43	0.0398525	1.00208	1.3288	5.98833	155.593	2636.33	9.71737
0	44	0.0406812	1.00217	1.3327	6.11333	154.766	2633.12	9.71737
0	45	0.0415098	1.00226	1.3366	6.23833	153.943	2629.91	9.71737
0	46	0.0423381	1.00235	1.34049	6.36333	153.125	2626.71	9.71737
0	47	0.0434262	1.00248	1.34558	6.52756	152.056	2622.51	9.71737
0	48	0.0442541	1.00257	1.34947	6.65256	151.244	2619.31	9.71737
0	49	0.0450818	1.00267	1.35336	6.77756	150.436	2616.1	9.71737
0	50	0.0459092	1.00277	1.35724	6.90256	149.632	2612.9	9.71737
0	51	0.0467365	1.00287	1.36111	7.02756	148.833	2609.71	9.71737
0	52	0.0481173	1.00304	1.36757	7.23629	147.507	2604.38	9.71736
0	53	0.048944	1.00315	1.37144	7.36129	146.714	2601.18	9.71736
0	54	0.0497704	1.00326	1.37531	7.48629	145.926	2597.98	9.71736
0	55	0.0505966	1.00337	1.37918	7.61129	145.142	2594.78	9.71736
0	56	0.0514225	1.00348	1.38304	7.73629	144.362	2591.59	9.71736
0	57	0.0522482	1.00359	1.3869	7.86129	143.585	2588.39	9.71736
0	58	0.0531069	1.00371	1.39091	7.99134	142.781	2585.08	9.71736
0	59	0.0539321	1.00383	1.39477	8.11634	142.009	2581.88	9.71736
0	60	0.054757	1.00394	1.39864	8.24134	141.241	2578.68	9.71736
0	61	0.0555817	1.00407	1.40249	8.36634	140.477	2575.48	9.71736
0	62	0.0564061	1.00419	1.40635	8.49134	139.716	2572.29	9.71736
0	63	0.0572302	1.00431	1.4102	8.61634	138.959	2569.1	9.71736
0	64	0.0584056	1.00449	1.41569	8.79469	137.885	2564.55	9.71736
0	65	0.059229	1.00462	1.41955	8.91969	137.134	2561.35	9.71736
0	66	0.0600522	1.00475	1.4234	9.04469	136.386	2558.15	9.71736
0	67	0.0608751	1.00488	1.42726	9.16969	135.641	2554.96	9.71736
0	68	0.0616977	1.00502	1.43111	9.29469	134.901	2551.76	9.71736
0	69	0.06252	1.00515	1.43495	9.41969	134.164	2548.57	9.71736
0	70	0.0640246	1.0054	1.44199	9.64853	132.823	2542.73	9.71736
0	71	0.0648461	1.00554	1.44585	9.77353	132.093	2539.53	9.71736
0	72	0.0656672	1.00569	1.4497	9.89853	131.366	2536.33	9.71736
0	73	0.0664881	1.00583	1.45355	10.0235	130.642	2533.13	9.71736
0	74	0.0673086	1.00598	1.4574	10.1485	129.922	2529.94	9.71736
0	75	0.0681288	1.00612	1.46125	10.2735	129.205	2526.74	9.71736
